CED_NAME21,Religion,Denomination,Sex,persons
Banks,(Other),NA,F,4820
Banks,(Other),NA,M,4718
Banks,(Other),(Other),F,252
Banks,(Other),(Other),M,212
Banks,(Other),Australian Aboriginal Traditional,F,5
Banks,(Other),Australian Aboriginal Traditional,M,6
Banks,(Other),Other spiritual beliefs,F,125
Banks,(Other),Other spiritual beliefs,M,77
Banks,(Other),Secular beliefs,F,122
Banks,(Other),Secular beliefs,M,199
Banks,(Other),Sikhism,F,247
Banks,(Other),Sikhism,M,240
Banks,Buddhism,NA,F,4290
Banks,Buddhism,NA,M,3004
Banks,Christianity,NA,F,2452
Banks,Christianity,NA,M,2306
Banks,Christianity,(Other),F,162
Banks,Christianity,(Other),M,143
Banks,Christianity,Anglican,F,7480
Banks,Christianity,Anglican,M,6317
Banks,Christianity,Assyrian Apostolic,F,12
Banks,Christianity,Assyrian Apostolic,M,5
Banks,Christianity,Baptist,F,1797
Banks,Christianity,Baptist,M,1427
Banks,Christianity,Brethren,F,9
Banks,Christianity,Brethren,M,8
Banks,Christianity,Catholic,F,19576
Banks,Christianity,Catholic,M,17458
Banks,Christianity,Churches Of Christ,F,53
Banks,Christianity,Churches Of Christ,M,47
Banks,Christianity,Eastern Orthodox,F,7058
Banks,Christianity,Eastern Orthodox,M,6704
Banks,Christianity,Jehovah's Witnesses,F,220
Banks,Christianity,Jehovah's Witnesses,M,157
Banks,Christianity,Latter Day Saints,F,151
Banks,Christianity,Latter Day Saints,M,140
Banks,Christianity,Lutheran,F,101
Banks,Christianity,Lutheran,M,73
Banks,Christianity,Oriental Orthodox,F,1011
Banks,Christianity,Oriental Orthodox,M,1005
Banks,Christianity,Pentecostal,F,614
Banks,Christianity,Pentecostal,M,490
Banks,Christianity,Presbyterian Reformed,F,1188
Banks,Christianity,Presbyterian Reformed,M,1014
Banks,Christianity,Protestant (Other),F,484
Banks,Christianity,Protestant (Other),M,381
Banks,Christianity,Salvation Army,F,118
Banks,Christianity,Salvation Army,M,83
Banks,Christianity,Seventh Day Adventist,F,87
Banks,Christianity,Seventh Day Adventist,M,60
Banks,Christianity,Uniting Church,F,1369
Banks,Christianity,Uniting Church,M,1022
Banks,Hinduism,NA,F,3300
Banks,Hinduism,NA,M,3912
Banks,Islam,NA,F,4941
Banks,Islam,NA,M,5297
Banks,Judaism,NA,F,81
Banks,Judaism,NA,M,91
Banks,No religion,NA,F,20904
Banks,No religion,NA,M,23275
Barton,(Other),NA,F,6217
Barton,(Other),NA,M,6546
Barton,(Other),(Other),F,256
Barton,(Other),(Other),M,266
Barton,(Other),Australian Aboriginal Traditional,F,8
Barton,(Other),Australian Aboriginal Traditional,M,0
Barton,(Other),Other spiritual beliefs,F,159
Barton,(Other),Other spiritual beliefs,M,98
Barton,(Other),Secular beliefs,F,214
Barton,(Other),Secular beliefs,M,268
Barton,(Other),Sikhism,F,120
Barton,(Other),Sikhism,M,132
Barton,Buddhism,NA,F,5385
Barton,Buddhism,NA,M,3950
Barton,Christianity,NA,F,2689
Barton,Christianity,NA,M,2256
Barton,Christianity,(Other),F,38
Barton,Christianity,(Other),M,31
Barton,Christianity,Anglican,F,3461
Barton,Christianity,Anglican,M,3116
Barton,Christianity,Assyrian Apostolic,F,21
Barton,Christianity,Assyrian Apostolic,M,36
Barton,Christianity,Baptist,F,707
Barton,Christianity,Baptist,M,621
Barton,Christianity,Brethren,F,6
Barton,Christianity,Brethren,M,4
Barton,Christianity,Catholic,F,18355
Barton,Christianity,Catholic,M,17047
Barton,Christianity,Churches Of Christ,F,65
Barton,Christianity,Churches Of Christ,M,67
Barton,Christianity,Eastern Orthodox,F,11931
Barton,Christianity,Eastern Orthodox,M,11414
Barton,Christianity,Jehovah's Witnesses,F,221
Barton,Christianity,Jehovah's Witnesses,M,176
Barton,Christianity,Latter Day Saints,F,101
Barton,Christianity,Latter Day Saints,M,77
Barton,Christianity,Lutheran,F,89
Barton,Christianity,Lutheran,M,73
Barton,Christianity,Oriental Orthodox,F,719
Barton,Christianity,Oriental Orthodox,M,698
Barton,Christianity,Pentecostal,F,478
Barton,Christianity,Pentecostal,M,397
Barton,Christianity,Presbyterian Reformed,F,886
Barton,Christianity,Presbyterian Reformed,M,804
Barton,Christianity,Protestant (Other),F,405
Barton,Christianity,Protestant (Other),M,355
Barton,Christianity,Salvation Army,F,98
Barton,Christianity,Salvation Army,M,66
Barton,Christianity,Seventh Day Adventist,F,113
Barton,Christianity,Seventh Day Adventist,M,83
Barton,Christianity,Uniting Church,F,733
Barton,Christianity,Uniting Church,M,624
Barton,Hinduism,NA,F,4921
Barton,Hinduism,NA,M,6229
Barton,Islam,NA,F,7060
Barton,Islam,NA,M,7837
Barton,Judaism,NA,F,177
Barton,Judaism,NA,M,182
Barton,No religion,NA,F,25503
Barton,No religion,NA,M,27060
Bennelong,(Other),NA,F,5360
Bennelong,(Other),NA,M,5479
Bennelong,(Other),(Other),F,461
Bennelong,(Other),(Other),M,392
Bennelong,(Other),Australian Aboriginal Traditional,F,0
Bennelong,(Other),Australian Aboriginal Traditional,M,4
Bennelong,(Other),Other spiritual beliefs,F,155
Bennelong,(Other),Other spiritual beliefs,M,106
Bennelong,(Other),Secular beliefs,F,216
Bennelong,(Other),Secular beliefs,M,290
Bennelong,(Other),Sikhism,F,370
Bennelong,(Other),Sikhism,M,369
Bennelong,Buddhism,NA,F,4986
Bennelong,Buddhism,NA,M,3545
Bennelong,Christianity,NA,F,2893
Bennelong,Christianity,NA,M,2518
Bennelong,Christianity,(Other),F,56
Bennelong,Christianity,(Other),M,55
Bennelong,Christianity,Anglican,F,6943
Bennelong,Christianity,Anglican,M,6002
Bennelong,Christianity,Assyrian Apostolic,F,75
Bennelong,Christianity,Assyrian Apostolic,M,64
Bennelong,Christianity,Baptist,F,2051
Bennelong,Christianity,Baptist,M,1749
Bennelong,Christianity,Brethren,F,187
Bennelong,Christianity,Brethren,M,151
Bennelong,Christianity,Catholic,F,21113
Bennelong,Christianity,Catholic,M,18669
Bennelong,Christianity,Churches Of Christ,F,82
Bennelong,Christianity,Churches Of Christ,M,76
Bennelong,Christianity,Eastern Orthodox,F,1880
Bennelong,Christianity,Eastern Orthodox,M,1816
Bennelong,Christianity,Jehovah's Witnesses,F,152
Bennelong,Christianity,Jehovah's Witnesses,M,106
Bennelong,Christianity,Latter Day Saints,F,91
Bennelong,Christianity,Latter Day Saints,M,82
Bennelong,Christianity,Lutheran,F,156
Bennelong,Christianity,Lutheran,M,133
Bennelong,Christianity,Oriental Orthodox,F,1001
Bennelong,Christianity,Oriental Orthodox,M,948
Bennelong,Christianity,Pentecostal,F,940
Bennelong,Christianity,Pentecostal,M,796
Bennelong,Christianity,Presbyterian Reformed,F,3457
Bennelong,Christianity,Presbyterian Reformed,M,2896
Bennelong,Christianity,Protestant (Other),F,609
Bennelong,Christianity,Protestant (Other),M,527
Bennelong,Christianity,Salvation Army,F,47
Bennelong,Christianity,Salvation Army,M,37
Bennelong,Christianity,Seventh Day Adventist,F,167
Bennelong,Christianity,Seventh Day Adventist,M,139
Bennelong,Christianity,Uniting Church,F,1934
Bennelong,Christianity,Uniting Church,M,1515
Bennelong,Hinduism,NA,F,4729
Bennelong,Hinduism,NA,M,5035
Bennelong,Islam,NA,F,2900
Bennelong,Islam,NA,M,3267
Bennelong,Judaism,NA,F,249
Bennelong,Judaism,NA,M,247
Bennelong,No religion,NA,F,34435
Bennelong,No religion,NA,M,36506
Berowra,(Other),NA,F,3147
Berowra,(Other),NA,M,3313
Berowra,(Other),(Other),F,376
Berowra,(Other),(Other),M,337
Berowra,(Other),Australian Aboriginal Traditional,F,0
Berowra,(Other),Australian Aboriginal Traditional,M,4
Berowra,(Other),Other spiritual beliefs,F,144
Berowra,(Other),Other spiritual beliefs,M,93
Berowra,(Other),Secular beliefs,F,228
Berowra,(Other),Secular beliefs,M,270
Berowra,(Other),Sikhism,F,320
Berowra,(Other),Sikhism,M,322
Berowra,Buddhism,NA,F,2547
Berowra,Buddhism,NA,M,1929
Berowra,Christianity,NA,F,2132
Berowra,Christianity,NA,M,1885
Berowra,Christianity,(Other),F,97
Berowra,Christianity,(Other),M,68
Berowra,Christianity,Anglican,F,11014
Berowra,Christianity,Anglican,M,9657
Berowra,Christianity,Assyrian Apostolic,F,6
Berowra,Christianity,Assyrian Apostolic,M,8
Berowra,Christianity,Baptist,F,1848
Berowra,Christianity,Baptist,M,1619
Berowra,Christianity,Brethren,F,162
Berowra,Christianity,Brethren,M,163
Berowra,Christianity,Catholic,F,17336
Berowra,Christianity,Catholic,M,16017
Berowra,Christianity,Churches Of Christ,F,82
Berowra,Christianity,Churches Of Christ,M,67
Berowra,Christianity,Eastern Orthodox,F,914
Berowra,Christianity,Eastern Orthodox,M,889
Berowra,Christianity,Jehovah's Witnesses,F,134
Berowra,Christianity,Jehovah's Witnesses,M,127
Berowra,Christianity,Latter Day Saints,F,125
Berowra,Christianity,Latter Day Saints,M,120
Berowra,Christianity,Lutheran,F,219
Berowra,Christianity,Lutheran,M,188
Berowra,Christianity,Oriental Orthodox,F,216
Berowra,Christianity,Oriental Orthodox,M,207
Berowra,Christianity,Pentecostal,F,950
Berowra,Christianity,Pentecostal,M,850
Berowra,Christianity,Presbyterian Reformed,F,1887
Berowra,Christianity,Presbyterian Reformed,M,1671
Berowra,Christianity,Protestant (Other),F,384
Berowra,Christianity,Protestant (Other),M,334
Berowra,Christianity,Salvation Army,F,82
Berowra,Christianity,Salvation Army,M,65
Berowra,Christianity,Seventh Day Adventist,F,445
Berowra,Christianity,Seventh Day Adventist,M,362
Berowra,Christianity,Uniting Church,F,2562
Berowra,Christianity,Uniting Church,M,2049
Berowra,Hinduism,NA,F,3632
Berowra,Hinduism,NA,M,3533
Berowra,Islam,NA,F,1335
Berowra,Islam,NA,M,1355
Berowra,Judaism,NA,F,164
Berowra,Judaism,NA,M,156
Berowra,No religion,NA,F,24879
Berowra,No religion,NA,M,27545
Blaxland,(Other),NA,F,8420
Blaxland,(Other),NA,M,9611
Blaxland,(Other),(Other),F,296
Blaxland,(Other),(Other),M,296
Blaxland,(Other),Australian Aboriginal Traditional,F,5
Blaxland,(Other),Australian Aboriginal Traditional,M,0
Blaxland,(Other),Other spiritual beliefs,F,69
Blaxland,(Other),Other spiritual beliefs,M,56
Blaxland,(Other),Secular beliefs,F,75
Blaxland,(Other),Secular beliefs,M,109
Blaxland,(Other),Sikhism,F,190
Blaxland,(Other),Sikhism,M,248
Blaxland,Buddhism,NA,F,8014
Blaxland,Buddhism,NA,M,6659
Blaxland,Christianity,NA,F,2166
Blaxland,Christianity,NA,M,2066
Blaxland,Christianity,(Other),F,74
Blaxland,Christianity,(Other),M,87
Blaxland,Christianity,Anglican,F,2927
Blaxland,Christianity,Anglican,M,2537
Blaxland,Christianity,Assyrian Apostolic,F,28
Blaxland,Christianity,Assyrian Apostolic,M,36
Blaxland,Christianity,Baptist,F,939
Blaxland,Christianity,Baptist,M,831
Blaxland,Christianity,Brethren,F,13
Blaxland,Christianity,Brethren,M,8
Blaxland,Christianity,Catholic,F,16488
Blaxland,Christianity,Catholic,M,15544
Blaxland,Christianity,Churches Of Christ,F,41
Blaxland,Christianity,Churches Of Christ,M,30
Blaxland,Christianity,Eastern Orthodox,F,3997
Blaxland,Christianity,Eastern Orthodox,M,3868
Blaxland,Christianity,Jehovah's Witnesses,F,186
Blaxland,Christianity,Jehovah's Witnesses,M,130
Blaxland,Christianity,Latter Day Saints,F,199
Blaxland,Christianity,Latter Day Saints,M,194
Blaxland,Christianity,Lutheran,F,84
Blaxland,Christianity,Lutheran,M,67
Blaxland,Christianity,Oriental Orthodox,F,421
Blaxland,Christianity,Oriental Orthodox,M,394
Blaxland,Christianity,Pentecostal,F,573
Blaxland,Christianity,Pentecostal,M,450
Blaxland,Christianity,Presbyterian Reformed,F,874
Blaxland,Christianity,Presbyterian Reformed,M,787
Blaxland,Christianity,Protestant (Other),F,361
Blaxland,Christianity,Protestant (Other),M,335
Blaxland,Christianity,Salvation Army,F,70
