SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21(d)
1101,Australia,-4140,-3210,-3550,-4010,-150,-690,-2020,-1480,-2310,-4380,-5710,-5030,-3190,-2880,-3050,3620,-2090
1102,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,3040,3240,3570,4090,3810,3290,6060,7090,5640,2740,1630,2050,1790,1910,1780,410,-2020
1301,New Caledonia,0,10,0,10,10,20,-10,10,0,0,10,0,0,0,0,0,-10
1302,PNG,80,50,50,60,10,-20,40,70,40,-50,30,60,40,0,10,70,-60
1303,Solomon Islands,10,0,10,10,0,10,10,20,20,10,10,10,0,-10,0,90,30
1304,Vanuatu,0,0,0,0,0,10,0,20,10,10,0,0,10,-10,40,820,-80
1401,Guam,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,-10,0,0,0,0,10,0,0,0,0,10,50,-10
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,10,10,-10,10,-10,0,10,10,0,0,0,0,0,0,10,-10
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,80,70,30,50,110,70,70,120,110,20,30,40,10,10,50,20,-10
1502,Fiji,190,330,410,540,430,330,380,340,400,360,240,310,360,340,490,430,-40
1503,French Poly,0,0,0,10,10,0,0,10,10,0,0,10,0,10,0,-10,-10
1504,Niue,0,0,10,10,10,10,10,10,10,0,0,0,10,10,10,0,0
1505,Samoa,220,200,170,190,320,250,430,670,890,600,550,640,660,560,450,440,60
1506,Samoa American,0,0,0,0,10,10,10,10,30,10,10,20,10,10,10,0,-10
1507,Tokelau,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,20,30,60,30,70,100,110,150,100,140,100,50,100,60,140,450,-20
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,-10
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
