StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
ACT,318,Bean,0,NA,NA,First Preferences,NA,0,36231,ALP,Australian Labor Party,SMITH,David,3,41060,58.41
ACT,318,Bean,0,NA,NA,First Preferences,NA,0,37198,LP,Liberal,HIATT,Jane,6,29241,41.59
ACT,318,Bean,36239,UAPP,United Australia Party,CONWAY,Sean,1,36231,ALP,Australian Labor Party,SMITH,David,3,1326,46.84
ACT,318,Bean,36239,UAPP,United Australia Party,CONWAY,Sean,1,37198,LP,Liberal,HIATT,Jane,6,1505,53.16
ACT,318,Bean,37455,ON,Pauline Hanson's One Nation,AMBARD,Benjamin,2,36231,ALP,Australian Labor Party,SMITH,David,3,1056,39.4
ACT,318,Bean,37455,ON,Pauline Hanson's One Nation,AMBARD,Benjamin,2,37198,LP,Liberal,HIATT,Jane,6,1624,60.6
ACT,318,Bean,32130,IND,Independent,CHRISTIE,Jamie,4,36231,ALP,Australian Labor Party,SMITH,David,3,5445,67.87
ACT,318,Bean,32130,IND,Independent,CHRISTIE,Jamie,4,37198,LP,Liberal,HIATT,Jane,6,2578,32.13
ACT,318,Bean,36243,GRN,The Greens,SAVERY,Kathryn Jane,5,36231,ALP,Australian Labor Party,SMITH,David,3,13048,89.62
ACT,318,Bean,36243,GRN,The Greens,SAVERY,Kathryn Jane,5,37198,LP,Liberal,HIATT,Jane,6,1511,10.38
ACT,101,Canberra,0,NA,NA,First Preferences,NA,0,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,41435,64.51
ACT,101,Canberra,0,NA,NA,First Preferences,NA,0,36241,GRN,The Greens,HOLLO,Tim,5,22795,35.49
ACT,101,Canberra,36238,UAPP,United Australia Party,SMITH,Catherine,1,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,918,54.42
ACT,101,Canberra,36238,UAPP,United Australia Party,SMITH,Catherine,1,36241,GRN,The Greens,HOLLO,Tim,5,769,45.58
ACT,101,Canberra,37456,ON,Pauline Hanson's One Nation,MILES,James,2,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,1049,68.52
ACT,101,Canberra,37456,ON,Pauline Hanson's One Nation,MILES,James,2,36241,GRN,The Greens,HOLLO,Tim,5,482,31.48
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,3,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,2229,46.71
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,3,36241,GRN,The Greens,HOLLO,Tim,5,2543,53.29
ACT,101,Canberra,37211,LP,Liberal,MINSON,Slade,4,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,11790,58.65
ACT,101,Canberra,37211,LP,Liberal,MINSON,Slade,4,36241,GRN,The Greens,HOLLO,Tim,5,8312,41.35
ACT,102,Fenner,0,NA,NA,First Preferences,NA,0,36234,ALP,Australian Labor Party,LEIGH,Andrew,1,44100,63.44
ACT,102,Fenner,0,NA,NA,First Preferences,NA,0,37203,LP,Liberal,KUSTER,Nathan,2,25416,36.56
ACT,102,Fenner,36237,UAPP,United Australia Party,ELTON,Timothy Peter,3,36234,ALP,Australian Labor Party,LEIGH,Andrew,1,935,39.86
ACT,102,Fenner,36237,UAPP,United Australia Party,ELTON,Timothy Peter,3,37203,LP,Liberal,KUSTER,Nathan,2,1411,60.14
ACT,102,Fenner,37458,ON,Pauline Hanson's One Nation,GRANT,Lucia,4,36234,ALP,Australian Labor Party,LEIGH,Andrew,1,852,35.22
ACT,102,Fenner,37458,ON,Pauline Hanson's One Nation,GRANT,Lucia,4,37203,LP,Liberal,KUSTER,Nathan,2,1567,64.78
ACT,102,Fenner,36242,GRN,The Greens,SOJIC,Natasa,5,36234,ALP,Australian Labor Party,LEIGH,Andrew,1,13631,89.13
ACT,102,Fenner,36242,GRN,The Greens,SOJIC,Natasa,5,37203,LP,Liberal,KUSTER,Nathan,2,1663,10.87
ACT,102,Fenner,37599,LDP,Liberal Democrats,JAKEMAN,Guy,6,36234,ALP,Australian Labor Party,LEIGH,Andrew,1,448,26.26
ACT,102,Fenner,37599,LDP,Liberal Democrats,JAKEMAN,Guy,6,37203,LP,Liberal,KUSTER,Nathan,2,1258,73.74
NSW,103,Banks,0,NA,NA,First Preferences,NA,0,36774,ALP,Labor,SOON,Zhi,7,32459,43.82
NSW,103,Banks,0,NA,NA,First Preferences,NA,0,37018,LP,Liberal,COLEMAN,David,1,41622,56.18
NSW,103,Banks,36651,LDP,Liberal Democrats,COCKER,Elouise Ivy,2,36774,ALP,Labor,SOON,Zhi,7,523,41.38
NSW,103,Banks,36651,LDP,Liberal Democrats,COCKER,Elouise Ivy,2,37018,LP,Liberal,COLEMAN,David,1,741,58.62
NSW,103,Banks,36265,UAPP,United Australia Party,MOMIRCEVSKI,Marika,3,36774,ALP,Labor,SOON,Zhi,7,1761,34.89
NSW,103,Banks,36265,UAPP,United Australia Party,MOMIRCEVSKI,Marika,3,37018,LP,Liberal,COLEMAN,David,1,3287,65.11
NSW,103,Banks,36330,GRN,The Greens,HANNA,Natalie,4,36774,ALP,Labor,SOON,Zhi,7,6669,82.71
NSW,103,Banks,36330,GRN,The Greens,HANNA,Natalie,4,37018,LP,Liberal,COLEMAN,David,1,1394,17.29
NSW,103,Banks,37388,NAFD,NA,KHOUW,Steve,5,36774,ALP,Labor,SOON,Zhi,7,589,61.29
NSW,103,Banks,37388,NAFD,NA,KHOUW,Steve,5,37018,LP,Liberal,COLEMAN,David,1,372,38.71
NSW,103,Banks,37773,ON,Pauline Hanson's One Nation,HEFFERNAN,Malcolm Phillip,6,36774,ALP,Labor,SOON,Zhi,7,1075,40.91
NSW,103,Banks,37773,ON,Pauline Hanson's One Nation,HEFFERNAN,Malcolm Phillip,6,37018,LP,Liberal,COLEMAN,David,1,1553,59.09
NSW,104,Barton,0,NA,NA,First Preferences,NA,0,36820,ALP,Labor,BURNEY,Linda,1,46206,65.82
NSW,104,Barton,0,NA,NA,First Preferences,NA,0,37017,LP,Liberal,GOODY,John,4,23992,34.18
NSW,104,Barton,36276,UAPP,United Australia Party,HONOS,Dimitri,2,36820,ALP,Labor,BURNEY,Linda,1,2515,44.82
NSW,104,Barton,36276,UAPP,United Australia Party,HONOS,Dimitri,2,37017,LP,Liberal,GOODY,John,4,3096,55.18
NSW,104,Barton,36332,GRN,The Greens,VANDIJK,Taylor,3,36820,ALP,Labor,BURNEY,Linda,1,9972,87.16
NSW,104,Barton,36332,GRN,The Greens,VANDIJK,Taylor,3,37017,LP,Liberal,GOODY,John,4,1469,12.84
NSW,104,Barton,37503,ON,Pauline Hanson's One Nation,POLLARD,Phillip,5,36820,ALP,Labor,BURNEY,Linda,1,1361,31.12
NSW,104,Barton,37503,ON,Pauline Hanson's One Nation,POLLARD,Phillip,5,37017,LP,Liberal,GOODY,John,4,3012,68.88
NSW,105,Bennelong,0,NA,NA,First Preferences,NA,0,36827,ALP,Labor,LAXALE,Jerome,7,37596,47.71
NSW,105,Bennelong,0,NA,NA,First Preferences,NA,0,37019,LP,Liberal,KENNEDY,Simon,4,41206,52.29
NSW,105,Bennelong,36344,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",AUGUST,John,1,36827,ALP,Labor,LAXALE,Jerome,7,1268,59.67
NSW,105,Bennelong,36344,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",AUGUST,John,1,37019,LP,Liberal,KENNEDY,Simon,4,857,40.33
NSW,105,Bennelong,36300,GRN,The Greens,ADAMS,Tony,2,36827,ALP,Labor,LAXALE,Jerome,7,9501,83.38
NSW,105,Bennelong,36300,GRN,The Greens,ADAMS,Tony,2,37019,LP,Liberal,KENNEDY,Simon,4,1894,16.62
NSW,105,Bennelong,36650,LDP,Liberal Democrats,CAMERON,Dougal,3,36827,ALP,Labor,LAXALE,Jerome,7,299,19.43
NSW,105,Bennelong,36650,LDP,Liberal Democrats,CAMERON,Dougal,3,37019,LP,Liberal,KENNEDY,Simon,4,1240,80.57
NSW,105,Bennelong,36280,UAPP,United Australia Party,COLLYER,Rhys Ian,5,36827,ALP,Labor,LAXALE,Jerome,7,896,30.74
NSW,105,Bennelong,36280,UAPP,United Australia Party,COLLYER,Rhys Ian,5,37019,LP,Liberal,KENNEDY,Simon,4,2019,69.26
NSW,105,Bennelong,37519,ON,Pauline Hanson's One Nation,WATERSON,Victor,6,36827,ALP,Labor,LAXALE,Jerome,7,547,32.87
