PartyAb,PartyNm,Grouping
AAPP,Antipaedophile Party,Other
ADVP,Veterans Party,Other
AEQ,Marriage Equality,Other
AFN,Australia First Party,Other
AJP,Animal Justice Party,Other
ALA,Australian Liberty Alliance,Other
ALP,Australian Labor Party,ALP
ALP,Country Labor,ALP
ALP,Labor,ALP
ALP,Australian Labor Party (Northern Territory) Branch,ALP
ALP,A.L.P.,ALP
ARF,Australian Recreational Fishers Party,Other
ASP,"Shooters, Fishers and Farmers",Other
ASP,"Shooters, Fishers and Farmers Party",Other
ASXP,Australian Sex Party,Other
AUC,Australian Christians,Other
AUD,Australian Democrats,Other
AUP,Australian Progressives,Other
AUVA,Australian Values Party,Other
BAP,Building Australia,Other
BTA,Bullet Train For Australia,Other
CA,Carers Alliance,Other
CAL,Communist,Other
CCC,Climate Change Coalition,Other
CCE,Conservatives for Climate and Environment,Other
CDP,Christian Democratic Party (Fred Nile Group),Other
CDP,Christian Democratic Party,Other
CEC,Citizens Electoral Council,Other
CEC,Citizens Electoral Council of Australia,Other
CEC,Citizens Party,Other
CLP,C.L.P.,COAL
CLP,Country Liberals (NT),COAL
CLP,NT CLP,COAL
CM,CountryMinded,Other
CRNT,Consumer Rights & No-Tolls,Other
CYA,Australian Federation Party,Other
CYA,Australian Country Party,Other
CYC,Australian Cyclists Party,Other
DEM,Australian Democrats,Other
DEM,Democrats,Other
DHJP,Derryn Hinch's Justice Party,Other
DLP,Democratic Labour Party (DLP),Other
DLP,D.L.P. - Democratic Labor Party,Other
DPDA,Democratic Alliance,Other
DPDA,Drew Pavlou Democratic Alliance,Other
DRF,Drug Law Reform,Other
FFP,Family First,Other Right
FFP,Family First Party,Other Right
FPY,The Fishing Party,Other
FUT,Science Party,Other
GAP,The Great Australian Party,Other
GLT,Glenn Lazarus Team,Other
GRN,The Greens,GRN
GRN,Queensland Greens,GRN
GRN,Australian Greens,GRN
GRN,The Greens (WA),GRN
HMP,Marijuana (HEMP) Party,Other
HMP,Legalise Cannabis Australia,Other
IAP,Indigenous - Aboriginal Party of Australia,Other
IMO,Informed Medical Options Party,Other
IND,Independent,Other
JLN,Jacqui Lambie Network,Other
KAP,Katter's Australian Party,Other Right
KAP,Katter's Australian Party (KAP),Other Right
LDP,Liberal Democrats,Other Right
LDP,LDP,Other Right
LDP,Liberal Democrats (LDP),Other Right
LNP,Liberal National Party of Queensland,COAL
LNQ,Liberal National Party of Queensland,COAL
LP,Liberal,COAL
MAP,Mature Australia,Other
NCP,Non-Custodial Parents Party (Equal Parenting),Other
NP,Nationals,COAL
NP,The Nationals,COAL
NP,National Party,COAL
ODR,Outdoor Recreation Party (Stop The Greens),Other
ON,Pauline Hanson's One Nation,Other Right
ON,One Nation,Other Right
ON,One Nation WA,Other Right
PIR,Pirate Party Australia,Other
PUP,Palmer United Party,Other Right
REAS,Reason Australia,Other
REP,Renewable Energy Party,Other
RUA,Rise Up Australia Party,Other
SAL,Socialist Alliance,Other Left
SEP,Socialist Equality Party,Other Left
SMK,Smokers Rights,Other
SOL,Online Direct Democracy - (Empowering the People!),Other
SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",Other
SPA,Secular Party of Australia,Other
SPP,Sustainable Australia,Other
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,Other
TAP,The Arts Party,Other
TCS,The Climate Sceptics,Other
TLOC,The Local Party,Other
TNL,TNL,Other
UAPP,United Australia Party,Other Right
VEP,Voluntary Euthanasia Party,Other
VNS,Victorian Socialists,Other Left
WAP,WESTERN AUSTRALIA PARTY,Other
WWW,What Women Want (Australia),Other
XEN,Nick Xenophon Team,Other
XEN,Centre Alliance,Other
