Attribute,Attr New,2021,2016,2011,2006
Same_usual_address_5_years_ago_as_in_2021_persons,Residence move -  No change,TRUE,NA,NA,NA
Different_usual_address_5_years_ago_same_statistical_area_level_2_sa2_persons,Residence move - Within area,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_new_south_wales_persons,Residence move - NSW,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_victoria_persons,Residence move - VIC,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_queensland_persons,Residence move - QLD,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_south_australia_persons,Residence move - SA,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_western_australia_persons,Residence move - WA,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_tasmania_persons,Residence move -  TAS,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_northern_territory_persons,Residence move -  NT,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_australian_capital_territory_persons,Residence move -  ACT,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_different_sa2_in_other_territories_persons,Residence move -  Other,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_overseas_persons,Residence move -  Overseas,TRUE,TRUE,TRUE,NA
Different_usual_address_5_years_ago_not_stated_persons,Residence move - Not stated,TRUE,TRUE,TRUE,NA
Not_stated_persons,Residence move - Not stated,TRUE,TRUE,TRUE,NA
Total_persons,Residence move - Total,TRUE,TRUE,TRUE,TRUE
Same_usual_address_5_years_ago_as_in_2016_persons,Residence move -  No change,NA,TRUE,NA,NA
Same_usual_address_5_years_ago_as_in_2011_persons,Residence move -  No change,NA,NA,TRUE,NA
Same Usual Address 5 Years Ago As In 2006_persons,Residence move -  No change,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Same Statistical Local Area (Sla)_Persons,Residence move - Within area,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: New South Wales_persons,Residence move - NSW,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Victoria_persons,Residence move - VIC,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Queensland_persons,Residence move - QLD,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: South Australia_persons,Residence move - SA,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Western Australia_persons,Residence move - WA,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Tasmania_persons,Residence move -  TAS,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Northern Territory_persons,Residence move -  NT,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Australian Capital Territory_persons,Residence move -  ACT,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Different Sla In: Other Territories_persons,Residence move -  Other,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Overseas_persons,Residence move -  Other,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Not Stated_persons,Residence move -  Overseas,NA,NA,NA,TRUE
Different Usual Address 5 Years Ago: Total_persons,Residence move - Not stated,NA,NA,NA,TRUE
Not Stated_persons,Residence move - Not stated,NA,NA,NA,TRUE
