Attribute,2021,2016,2011,2006
Agriculture_forestry_and_fishing_total,TRUE,TRUE,TRUE,NA
Mining_total,TRUE,TRUE,TRUE,TRUE
Manufacturing_total,TRUE,TRUE,TRUE,TRUE
Electricity_gas_water_and_waste_services_total,TRUE,TRUE,TRUE,NA
Construction_total,TRUE,TRUE,TRUE,TRUE
Wholesale_trade_total,TRUE,TRUE,TRUE,NA
Retail_trade_total,TRUE,TRUE,TRUE,NA
Accommodation_and_food_services_total,TRUE,TRUE,TRUE,NA
Transport_postal_and_warehousing_total,TRUE,TRUE,TRUE,NA
Information_media_and_telecommunications_total,TRUE,TRUE,TRUE,NA
Financial_and_insurance_services_total,TRUE,TRUE,TRUE,NA
Rental_hiring_and_real_estate_services_total,TRUE,TRUE,TRUE,NA
Professional_scientific_and_technical_services_total,TRUE,TRUE,TRUE,NA
Administrative_and_support_services_total,TRUE,TRUE,TRUE,NA
Public_administration_and_safety_total,TRUE,TRUE,TRUE,NA
Education_and_training_total,TRUE,TRUE,TRUE,NA
Health_care_and_social_assistance_total,TRUE,TRUE,TRUE,NA
Arts_and_recreation_services_total,TRUE,TRUE,TRUE,NA
Other_services_total,TRUE,TRUE,TRUE,NA
Inadequately_described_not_stated_total,TRUE,TRUE,TRUE,NA
Total_occupation_managers,TRUE,TRUE,TRUE,NA
Total_occupation_professionals,TRUE,TRUE,TRUE,NA
Total_occupation_technicians_and_trades_workers,TRUE,TRUE,TRUE,NA
Total_occupation_community_and_personal_service_workers,TRUE,TRUE,TRUE,NA
Total_occupation_clerical_and_administrative_workers,TRUE,TRUE,TRUE,NA
Total_occupation_sales_workers,TRUE,TRUE,TRUE,NA
Total_occupation_machinery_operators_and_drivers,TRUE,TRUE,TRUE,NA
Total_occupation_labourers,TRUE,TRUE,TRUE,NA
Total_occupation_inadequately_described_not_stated,TRUE,TRUE,TRUE,NA
Total_total,TRUE,TRUE,TRUE,TRUE
Agriculture\ Forestry & Fishing_total,NA,NA,NA,TRUE
Electricity\ Gas\ Water & Waste Services_total,NA,NA,NA,TRUE
Wholesale Trade_total,NA,NA,NA,TRUE
Retail Trade_total,NA,NA,NA,TRUE
Accommodation & Food Services_total,NA,NA,NA,TRUE
Transport\ Postal & Warehousing_total,NA,NA,NA,TRUE
Information Media & Telecommunications_total,NA,NA,NA,TRUE
Financial & Insurance Services_total,NA,NA,NA,TRUE
Rental\ Hiring & Real Estate Services_total,NA,NA,NA,TRUE
Professional\ Scientific & Technical Services_total,NA,NA,NA,TRUE
Administrative & Support Services_total,NA,NA,NA,TRUE
Public Administration & Safety_total,NA,NA,NA,TRUE
Education & Training_total,NA,NA,NA,TRUE
Health Care & Social Assistance_total,NA,NA,NA,TRUE
Arts & Recreation Services_total,NA,NA,NA,TRUE
Other Services_total,NA,NA,NA,TRUE
Inadequately Described\Not Stated_total,NA,NA,NA,TRUE
Total_managers,NA,NA,NA,TRUE
Total_professionals,NA,NA,NA,TRUE
Total_technicians & Trades Workers,NA,NA,NA,TRUE
Total_community & Personal Service Workers,NA,NA,NA,TRUE
Total_clerical & Administrative Workers,NA,NA,NA,TRUE
Total_sales Workers,NA,NA,NA,TRUE
Total_machinery Operators & Drivers,NA,NA,NA,TRUE
Total_labourers,NA,NA,NA,TRUE
Total_occupation Inadequately Described/ Not Stated,NA,NA,NA,TRUE
