PartyAb,PartyNm
AAPP,Antipaedophile Party
ADVP,Veterans Party
AEQ,Marriage Equality
AFN,Australia First Party
AJP,Animal Justice Party
ALA,Australian Liberty Alliance
ALP,Australian Labor Party
ALP,Country Labor
ALP,Labor
ALP,Australian Labor Party (Northern Territory) Branch
ALP,A.L.P.
ARF,Australian Recreational Fishers Party
ASP,"Shooters, Fishers and Farmers"
ASP,"Shooters, Fishers and Farmers Party"
ASXP,Australian Sex Party
AUC,Australian Christians
AUD,Australian Democrats
AUP,Australian Progressives
AUVA,Australian Values Party
BAP,Building Australia
BTA,Bullet Train For Australia
CA,Carers Alliance
CAL,Communist
CCC,Climate Change Coalition
CCE,Conservatives for Climate and Environment
CDP,Christian Democratic Party (Fred Nile Group)
CDP,Christian Democratic Party
CEC,Citizens Electoral Council
CEC,Citizens Electoral Council of Australia
CEC,Citizens Party
CLP,C.L.P.
CLP,Country Liberals (NT)
CLP,NT CLP
CM,CountryMinded
CRNT,Consumer Rights & No-Tolls
CYA,Australian Federation Party
CYA,Australian Country Party
CYC,Australian Cyclists Party
DEM,Australian Democrats
DEM,Democrats
DHJP,Derryn Hinch's Justice Party
DLP,Democratic Labour Party (DLP)
DLP,D.L.P. - Democratic Labor Party
DPDA,Democratic Alliance
DPDA,Drew Pavlou Democratic Alliance
DRF,Drug Law Reform
FFP,Family First
FFP,Family First Party
FPY,The Fishing Party
FUT,Science Party
GAP,The Great Australian Party
GLT,Glenn Lazarus Team
GRN,The Greens
GRN,Queensland Greens
GRN,Australian Greens
GRN,The Greens (WA)
HMP,Marijuana (HEMP) Party
HMP,Legalise Cannabis Australia
IAP,Indigenous - Aboriginal Party of Australia
IMO,Informed Medical Options Party
IND,Independent
JLN,Jacqui Lambie Network
KAP,Katter's Australian Party
KAP,Katter's Australian Party (KAP)
LDP,Liberal Democrats
LDP,LDP
LDP,Liberal Democrats (LDP)
LNP,Liberal National Party of Queensland
LNQ,Liberal National Party of Queensland
LP,Liberal
MAP,Mature Australia
NCP,Non-Custodial Parents Party (Equal Parenting)
NP,Nationals
NP,The Nationals
NP,National Party
ODR,Outdoor Recreation Party (Stop The Greens)
ON,Pauline Hanson's One Nation
ON,One Nation
ON,One Nation WA
PIR,Pirate Party Australia
PUP,Palmer United Party
REAS,Reason Australia
REP,Renewable Energy Party
RUA,Rise Up Australia Party
SAL,Socialist Alliance
SEP,Socialist Equality Party
SMK,Smokers Rights
SOL,Online Direct Democracy - (Empowering the People!)
SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency"
SPA,Secular Party of Australia
SPP,Sustainable Australia
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption
TAP,The Arts Party
TCS,The Climate Sceptics
TLOC,The Local Party
TNL,TNL
UAPP,United Australia Party
VEP,Voluntary Euthanasia Party
VNS,Victorian Socialists
WAP,WESTERN AUSTRALIA PARTY
WWW,What Women Want (Australia)
XEN,Nick Xenophon Team
XEN,Centre Alliance
