DivisionNm,Year,cluster,Metro_Area
Bruce,2016,0,Greater Melbourne
Tangney,2007,0,Greater Perth
Pearce,2010,2,Greater Perth
Cowan,2016,2,Greater Perth
Burt,2016,2,Greater Perth
Menzies,2010,0,Greater Melbourne
Holt,2016,2,Greater Melbourne
Perth,2007,0,Greater Perth
Holt,2010,2,Greater Melbourne
Denison,2016,0,Greater Hobart
Pearce,2007,2,Greater Perth
Bendigo,2010,1,Non Metropolitan
Braddon,2016,1,Non Metropolitan
Denison,2010,0,Greater Hobart
Makin,2016,2,Greater Adelaide
Moore,2007,2,Greater Perth
Kalgoorlie,2007,0,Non Metropolitan
Longman,2010,2,Greater Brisbane
Fremantle,2007,2,Greater Perth
Gilmore,2016,1,Non Metropolitan
Tangney,2016,2,Greater Perth
Swan,2010,0,Greater Perth
Swan,2016,0,Greater Perth
Cowan,2007,2,Greater Perth
Stirling,2010,2,Greater Perth
Stirling,2016,2,Greater Perth
Canning,2007,2,Greater Perth
Perth,2010,2,Greater Perth
Brand,2007,2,Greater Perth
Pearce,2016,2,Greater Perth
Moore,2010,0,Greater Perth
O'Connor,2016,1,Non Metropolitan
Wannon,2007,1,Non Metropolitan
Hasluck,2010,2,Greater Perth
Moore,2016,2,Greater Perth
Scullin,2007,0,Greater Melbourne
Hasluck,2016,2,Greater Perth
Murray,2007,1,Non Metropolitan
Durack,2010,0,Non Metropolitan
Fremantle,2016,2,Greater Perth
Menzies,2007,0,Greater Melbourne
Curtin,2010,0,Greater Perth
Cowan,2010,2,Greater Perth
Durack,2016,0,Non Metropolitan
Melbourne,2007,0,Greater Melbourne
Canning,2010,2,Greater Perth
Curtin,2016,0,Greater Perth
McMillan,2007,1,Non Metropolitan
Brand,2010,2,Greater Perth
Canning,2016,2,Greater Perth
McEwen,2007,2,Greater Melbourne
Wills,2010,0,Greater Melbourne
Brand,2016,2,Greater Perth
Wills,2016,0,Greater Melbourne
Scullin,2010,0,Greater Melbourne
Wannon,2016,1,Non Metropolitan
Lalor,2007,2,Greater Melbourne
Scullin,2016,2,Greater Melbourne
La Trobe,2007,2,Greater Melbourne
Melbourne Ports,2010,0,Greater Melbourne
Murray,2016,1,Non Metropolitan
Kooyong,2007,0,Greater Melbourne
Menzies,2016,0,Greater Melbourne
Jagajaga,2007,2,Greater Melbourne
McMillan,2010,1,Non Metropolitan
Melbourne Ports,2016,0,Greater Melbourne
McEwen,2010,2,Greater Melbourne
Melbourne,2016,0,Greater Melbourne
Maribyrnong,2010,0,Greater Melbourne
McMillan,2016,1,Non Metropolitan
Mallee,2010,1,Non Metropolitan
McEwen,2016,2,Greater Melbourne
Holt,2007,2,Greater Melbourne
Maribyrnong,2016,0,Greater Melbourne
Higgins,2007,0,Greater Melbourne
La Trobe,2010,2,Greater Melbourne
Mallee,2016,1,Non Metropolitan
Gorton,2007,0,Greater Melbourne
Kooyong,2010,0,Greater Melbourne
Lalor,2016,0,Greater Melbourne
Goldstein,2007,2,Greater Melbourne
Jagajaga,2010,2,Greater Melbourne
La Trobe,2016,2,Greater Melbourne
Gippsland,2007,1,Non Metropolitan
Kooyong,2016,0,Greater Melbourne
Jagajaga,2016,2,Greater Melbourne
Flinders,2007,2,Greater Melbourne
Higgins,2010,0,Greater Melbourne
Gorton,2010,2,Greater Melbourne
Corio,2007,1,Non Metropolitan
Higgins,2016,0,Greater Melbourne
Gippsland,2010,1,Non Metropolitan
Gorton,2016,2,Greater Melbourne
Goldstein,2016,0,Greater Melbourne
Gippsland,2016,1,Non Metropolitan
Calwell,2007,2,Greater Melbourne
Gellibrand,2016,0,Greater Melbourne
Bruce,2007,0,Greater Melbourne
Deakin,2010,2,Greater Melbourne
Flinders,2016,2,Greater Melbourne
Corio,2010,1,Non Metropolitan
Dunkley,2016,2,Greater Melbourne
Batman,2007,0,Greater Melbourne
Corangamite,2010,1,Non Metropolitan
Deakin,2016,2,Greater Melbourne
Ballarat,2007,1,Non Metropolitan
Chisholm,2010,0,Greater Melbourne
Calwell,2010,2,Greater Melbourne
Corangamite,2016,1,Non Metropolitan
Lyons,2007,1,Non Metropolitan
Bruce,2010,0,Greater Melbourne
Chisholm,2016,0,Greater Melbourne
Franklin,2007,2,Greater Hobart
Batman,2010,0,Greater Melbourne
