Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,ACT,Canberra,ALP,46095,51.438423425434095
2007,ACT,Canberra,COAL,31388,35.026558942998705
2007,ACT,Canberra,GRN,11393,12.713699058161854
2007,ACT,Canberra,Other,736,0.8213185734053475
2007,ACT,Fraser,ALP,43017,51.78216749124264
2007,ACT,Fraser,COAL,25664,30.89331070263503
2007,ACT,Fraser,GRN,10951,13.182381760620178
2007,ACT,Fraser,Other,3012,3.625726770430826
2007,ACT,Fraser,Other Left,429,0.5164132750713228
2007,NSW,Banks,ALP,37348,54.88720699537071
2007,NSW,Banks,COAL,22851,33.582188257770596
2007,NSW,Banks,GRN,3729,5.480196928503196
2007,NSW,Banks,Other,3741,5.497832316849144
2007,NSW,Banks,Other Right,376,0.552575501506356
2007,NSW,Barton,ALP,37452,55.592334753373216
2007,NSW,Barton,COAL,22369,33.203699030711455
2007,NSW,Barton,GRN,5546,8.232273003903872
2007,NSW,Barton,Other,2002,2.971693212011459
2007,NSW,Bennelong,ALP,32463,45.77475711727464
2007,NSW,Bennelong,COAL,32129,45.303797289865905
2007,NSW,Bennelong,GRN,3830,5.400527362201949
2007,NSW,Bennelong,Other,1958,2.76089623373144
2007,NSW,Bennelong,Other Right,462,0.651447425936632
2007,NSW,Berowra,ALP,20870,31.052850851089158
2007,NSW,Berowra,COAL,35781,53.23919771455779
2007,NSW,Berowra,GRN,6201,9.226580169027496
2007,NSW,Berowra,Other,3551,5.283597190810617
2007,NSW,Berowra,Other Right,805,1.1977740745149388
2007,NSW,Blaxland,ALP,40073,62.18170533012646
2007,NSW,Blaxland,COAL,15249,23.662037396229344
2007,NSW,Blaxland,GRN,4120,6.393048335790208
2007,NSW,Blaxland,Other,2772,4.3013422298083634
2007,NSW,Blaxland,Other Left,438,0.6796493133679882
2007,NSW,Blaxland,Other Right,1793,2.782217394677632
2007,NSW,Bradfield,ALP,17644,26.493685901767346
2007,NSW,Bradfield,COAL,39540,59.37204378575611
2007,NSW,Bradfield,GRN,7483,11.23624187275703
2007,NSW,Bradfield,Other,1397,2.0976920882322028
2007,NSW,Bradfield,Other Right,533,0.8003363514873042
2007,NSW,Calare,ALP,16686,25.28449987119846
2007,NSW,Calare,COAL,31485,47.70960556422651
2007,NSW,Calare,GRN,1776,2.691194520630976
2007,NSW,Calare,Other,16046,24.314700043944054
2007,NSW,Charlton,ALP,37243,54.54452255418863
2007,NSW,Charlton,COAL,20751,30.39103690685413
2007,NSW,Charlton,GRN,5569,8.156121851200938
2007,NSW,Charlton,Other,4383,6.419156414762742
2007,NSW,Charlton,Other Left,334,0.48916227299355597
2007,NSW,Chifley,ALP,43302,64.7341984093763
2007,NSW,Chifley,COAL,15738,23.527477127309695
2007,NSW,Chifley,GRN,2351,3.514620582431382
2007,NSW,Chifley,Other,2907,4.345811158284997
2007,NSW,Chifley,Other Left,837,1.2512707050170424
2007,NSW,Chifley,Other Right,1757,2.6266220175805777
2007,NSW,Cook,ALP,25094,35.75815438106502
2007,NSW,Cook,COAL,37077,52.83354945352466
2007,NSW,Cook,GRN,4251,6.057540219730111
2007,NSW,Cook,Other,2406,3.4284737164598087
2007,NSW,Cook,Other Right,1349,1.9222822292203998
2007,NSW,Cowper,ALP,26914,38.67454124814991
2007,NSW,Cowper,COAL,32007,45.99301633831961
2007,NSW,Cowper,GRN,7729,11.10632121969795
2007,NSW,Cowper,Other,2007,2.8839936198646376
2007,NSW,Cowper,Other Right,934,1.3421275739678982
2007,NSW,Cunningham,ALP,36277,53.6078970312246
2007,NSW,Cunningham,COAL,17733,26.20472580573658
2007,NSW,Cunningham,GRN,9903,14.634038214301547
2007,NSW,Cunningham,Other,2203,3.255456547117672
2007,NSW,Cunningham,Other Left,595,0.879254037918754
2007,NSW,Cunningham,Other Right,960,1.4186283637008468
2007,NSW,Dobell,ALP,30121,46.72602888478662
2007,NSW,Dobell,COAL,27116,42.064440066394674
2007,NSW,Dobell,GRN,3434,5.327086856025938
2007,NSW,Dobell,Other,2612,4.0519367699300375
2007,NSW,Dobell,Other Right,1180,1.8305074228627274
2007,NSW,Eden-Monaro,ALP,29892,45.316313691008595
2007,NSW,Eden-Monaro,COAL,28264,42.84826342040235
2007,NSW,Eden-Monaro,GRN,4901,7.429922835529009
2007,NSW,Eden-Monaro,Other,2188,3.3170110516501676
2007,NSW,Eden-Monaro,Other Right,718,1.0884890014098814
2007,NSW,Farrer,ALP,23036,32.919858237109864
2007,NSW,Farrer,COAL,40372,57.694066537098436
2007,NSW,Farrer,GRN,3321,4.745912884417515
2007,NSW,Farrer,Other,1101,1.5733965931176404
2007,NSW,Farrer,Other Right,2146,3.066765748256545
2007,NSW,Fowler,ALP,43209,64.9212693070497
2007,NSW,Fowler,COAL,18314,27.516677684957028
2007,NSW,Fowler,GRN,3468,5.210649678466254
2007,NSW,Fowler,Other,1565,2.351403329527015
2007,NSW,Gilmore,ALP,21888,38.578680203045685
